,ios_file_size,ios_all_ratings,ios_current_ratings,android_total_ratings,android_avg_rating,android_file_size,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_rating_1
"2016,10,10,16,50,00",258,224108,4001,"6,636,101",4.1,76,"810,166","4,134,671","270,044","500,589","920,631"
"2016,08,16,11,20,00",106,202269,8784,"4,821,317",4.1,61,"600,833","3,003,603","206,119","377,325","633,437"
"2016,08,02,01,10,00",104,160618,17769,"2,020,590",3.9,60,"265,557","1,140,202","106,316","177,966","330,549"
"2016,08,20,22,10,00",106,205526,12514,"5,058,139",4.1,61,"627,966","3,153,000","214,949","395,575","666,649"
"2016,09,29,19,30,00",258,222305,1853,"6,487,718",4.1,76,"795,232","4,047,204","263,618","489,374","892,290"
"2016,07,25,18,50,00",110,115753,14707,"1,620,363",3.9,58,"215,358","929,672","86,104","147,971","241,258"
"2016,09,13,21,30,00",260,216813,233,"5,953,226",4.1,77,"735,704","3,739,756","243,640","455,807","778,319"
"2016,07,24,21,40,00",110,114433,13274,"1,563,182",3.9,58,"207,168","895,047","83,619","143,119","234,229"
"2016,09,14,13,30,00",260,217310,840,"5,999,901",4.1,77,"740,161","3,762,313","244,952","457,494","794,981"
"2016,08,26,06,40,00",211,208290,843,"5,325,577",4.1,61,"662,692","3,326,511","223,617","414,124","698,633"
"2016,09,10,05,20,00",211,215297,9093,"5,773,971",4.1,61,"714,403","3,621,756","239,992","446,694","751,126"
"2016,09,18,20,10,00",258,219551,1375,"6,208,893",4.1,77,"761,118","3,878,852","252,810","469,514","846,599"
"2016,07,25,21,20,00",110,116113,15087,"1,628,427",3.9,58,"216,592","934,783","86,373","148,675","242,004"
"2016,08,01,04,50,00",104,145942,ios_current_ratings not found,"1,963,573",3.9,60,"260,563","1,119,876","101,895","174,092","307,147"
"2016,09,23,20,30,00",258,220721,ios_current_ratings not found,"6,314,389",4.1,android_file_size not found,"772,351","3,939,801","257,425","477,013","867,799"
"2016,08,02,11,40,00",104,163678,21103,"2,041,802",3.9,60,"267,654","1,148,675","108,037","179,859","337,577"
"2016,08,15,11,10,00",106,201245,7640,"4,752,165",4.1,61,"592,760","2,960,867","203,232","371,738","623,568"
"2016,09,29,16,50,00",258,222264,1806,"6,487,718",4.1,76,"795,232","4,047,204","263,618","489,374","892,290"
"2016,08,01,05,50,00",104,145942,ios_current_ratings not found,"1,963,573",3.9,60,"260,563","1,119,876","101,895","174,092","307,147"
"2016,09,08,12,00,00",211,214896,8622,"5,734,929",4.1,61,"709,912","3,595,489","238,620","444,020","746,888"
"2016,09,18,21,10,00",258,219551,1375,"6,208,893",4.1,77,"761,118","3,878,852","252,810","469,514","846,599"
"2016,08,24,03,10,00",106,207703,ios_current_ratings not found,"5,215,430",4.1,61,"648,328","3,254,712","219,856","406,385","686,149"
"2016,09,11,13,30,00",211,215748,9643,"5,834,610",4.1,android_file_size not found,"721,386","3,663,588","241,069","449,750","758,817"
"2016,09,05,12,30,00",211,213695,7255,"5,662,447",4.1,61,"701,213","3,546,618","236,148","438,877","739,591"
"2016,08,10,10,10,00",106,192832,6802,"4,133,549",4.1,61,"515,120","2,567,796","179,192","320,502","550,939"
"2016,07,23,07,20,00",110,111850,10465,"1,439,453",3.9,58,"189,026","817,592","78,908","132,915","221,012"
"2016,10,16,12,10,00",251,225534,940,"6,737,123",4.0,77,"823,063","4,193,895","274,037","508,063","938,065"
"2016,10,01,22,40,00",258,222699,2308,"6,525,555",4.1,76,"798,912","4,069,838","265,236","492,058","899,511"
"2016,08,17,13,20,00",106,202991,9609,"4,893,737",4.1,61,"609,392","3,048,523","208,852","383,316","643,654"
"2016,10,11,15,00,00",258,224196,4115,"6,647,562",4.0,android_file_size not found,"811,540","4,141,166","270,604","501,586","922,666"
"2016,08,20,22,20,00",106,205526,12514,"5,058,139",4.1,61,"627,966","3,153,000","214,949","395,575","666,649"
"2016,10,15,19,20,00",251,225191,598,"6,723,199",4.0,77,"821,229","4,185,356","273,598","507,073","935,943"
"2016,10,24,14,10,00",259,227594,ios_current_ratings not found,"6,831,738",4.0,android_file_size not found,"834,083","4,248,123","278,408","515,455","955,669"
"2016,08,25,03,50,00",106,208290,843,"5,279,586",4.1,61,"657,082","3,296,956","221,870","410,747","692,931"
"2016,08,07,17,10,00",104,184325,43993,"3,458,039",4.0,60,"416,501","2,121,474","157,774","270,360","491,930"
"2016,09,13,02,20,00",211,216424,10440,"5,917,163",4.1,android_file_size not found,"731,427","3,718,416","242,974","454,206","770,140"
"2016,09,21,02,10,00",258,220174,2098,"6,261,047",4.1,77,"766,632","3,908,585","255,206","473,193","857,431"
"2016,09,06,01,00,00",211,214098,7701,"5,680,988",4.1,61,"703,394","3,559,261","236,764","440,157","741,412"
"2016,10,04,01,10,00",258,223106,2776,"6,555,109",4.1,76,"801,933","4,086,942","266,602","494,354","905,278"
"2016,10,12,15,30,00",258,224338,4301,"6,662,903",4.0,77,"813,476","4,150,207","271,336","502,732","925,152"
"2016,09,07,09,10,00",211,214544,8211,"5,710,479",4.1,61,"707,050","3,578,870","237,818","442,315","744,426"
"2016,08,08,17,50,00",104,186823,46692,"3,629,620",4.0,61,"437,471","2,227,387","165,418","284,295","515,049"
"2016,09,06,09,20,00",211,214181,7794,"5,687,420",4.1,61,"704,224","3,563,482","237,021","440,629","742,064"
"2016,10,28,05,10,00",259,229262,900,"6,925,832",4.0,android_file_size not found,"848,542","4,306,841","281,748","522,897","965,804"
"2016,09,30,13,00,00",258,222378,1945,"6,499,558",4.1,76,"796,450","4,053,967","264,113","490,295","894,733"
"2016,10,05,00,50,00",258,223210,2905,"6,564,096",4.1,76,"802,888","4,092,185","267,001","495,041","906,981"
"2016,09,15,04,30,00",260,217866,1520,"6,040,108",4.1,77,"743,957","3,782,363","246,312","459,465","808,011"
"2016,10,16,11,50,00",251,225534,940,"6,737,123",4.0,77,"823,063","4,193,895","274,037","508,063","938,065"
"2016,08,21,15,10,00",106,206045,13097,"5,089,370",4.1,61,"631,647","3,172,785","216,143","397,884","670,911"
"2016,08,31,05,50,00",211,211488,4712,"5,512,504",4.1,61,"684,060","3,447,739","230,791","427,813","722,101"
"2016,09,27,08,00,00",258,221846,1301,"6,441,057",4.1,76,"789,946","4,020,344","261,616","485,964","883,187"
"2016,07,21,18,50,00",110,108570,6842,"1,334,278",3.9,58,"174,065","757,714","73,640","122,554","206,305"
"2016,10,26,13,20,00",259,228138,744,"6,869,646",4.0,android_file_size not found,"839,611","4,271,366","280,068","518,568","960,033"
"2016,10,07,13,50,00",258,223494,3271,"6,593,780",4.1,76,"806,011","4,109,443","268,263","497,390","912,673"
"2016,10,11,15,30,00",258,224223,4152,"6,647,562",4.0,android_file_size not found,"811,540","4,141,166","270,604","501,586","922,666"
"2016,09,04,21,00,00",211,213498,7019,"5,652,212",4.1,61,"699,966","3,539,895","235,753","438,115","738,483"
"2016,10,31,21,40,00",259,230525,2353,"7,003,505",4.0,android_file_size not found,"856,048","4,351,592","285,049","528,559","982,257"
"2016,08,17,07,20,00",106,202826,9419,"4,873,284",4.1,61,"606,975","3,035,946","208,017","381,636","640,710"
"2016,08,05,01,40,00",104,174636,33442,"2,809,410",4.0,60,"342,639","1,701,095","132,076","223,590","410,010"
"2016,09,18,20,40,00",258,219551,1375,"6,208,893",4.1,77,"761,118","3,878,852","252,810","469,514","846,599"
"2016,10,17,06,10,00",251,225832,1364,"6,747,947",4.0,77,"824,048","4,199,945","274,599","508,819","940,536"
"2016,08,14,09,50,00",106,200132,6330,"4,669,919",4.1,61,"583,000","2,909,261","199,956","365,002","612,700"
"2016,09,13,09,50,00",211,216520,10557,"5,921,810",4.1,android_file_size not found,"732,073","3,721,274","243,115","454,510","770,838"
"2016,08,20,15,10,00",106,205128,12335,"5,041,210",4.1,61,"625,970","3,141,907","214,334","394,410","664,589"
"2016,10,25,07,20,00",259,227762,206,"6,845,500",4.0,android_file_size not found,"835,997","4,255,797","279,232","516,686","957,788"
"2016,10,11,07,50,00",258,224175,4115,"6,641,952",4.0,android_file_size not found,"810,843","4,137,727","270,368","501,153","921,861"
"2016,10,21,22,50,00",251,227118,3027,"6,803,883",4.0,77,"831,142","4,231,639","277,168","513,378","950,556"
"2016,07,21,04,20,00",110,107460,5668,"1,292,537",3.9,58,"167,748","732,956","71,943","118,795","201,095"
"2016,08,17,12,00,00",106,202991,9609,"4,882,800",4.1,61,"608,117","3,041,594","208,421","382,444","642,224"
"2016,09,07,12,10,00",211,214544,8211,"5,710,479",4.1,61,"707,050","3,578,870","237,818","442,315","744,426"
"2016,08,18,15,50,00",106,204000,10769,"4,948,622",4.1,61,"615,596","3,082,643","210,939","387,578","651,866"
"2016,08,18,11,20,00",106,203860,10607,"4,936,502",4.1,61,"614,228","3,074,988","210,484","386,642","650,160"
"2016,10,24,16,40,00",259,227627,ios_current_ratings not found,"6,834,489",4.0,android_file_size not found,"834,433","4,249,734","278,559","515,674","956,089"
"2016,09,11,19,50,00",211,216010,9944,"5,855,822",4.1,android_file_size not found,"723,918","3,677,675","241,533","450,914","761,782"
"2016,10,11,01,10,00",258,224175,4090,"6,639,302",4.0,android_file_size not found,"810,516","4,136,301","270,226","500,910","921,349"
"2016,10,28,18,40,00",259,229419,1087,"6,938,532",4.0,android_file_size not found,"849,855","4,314,122","282,256","523,813","968,486"
"2016,09,14,09,40,00",260,217310,840,"5,986,688",4.1,77,"738,965","3,755,623","244,611","457,011","790,478"
"2016,08,15,15,40,00",106,201533,7960,"4,766,784",4.1,61,"594,572","2,969,938","203,820","372,941","625,513"
"2016,09,16,15,10,00",258,218339,ios_current_ratings not found,"6,101,541",4.1,77,"749,505","3,814,636","248,674","462,761","825,965"
"2016,10,03,08,50,00",258,223015,2667,"6,546,063",4.1,76,"800,936","4,082,023","266,145","493,607","903,352"
"2016,09,17,05,20,00",258,218737,451,"6,128,161",4.1,77,"752,556","3,830,492","249,618","464,478","831,017"
"2016,08,26,15,50,00",211,208290,843,"5,348,087",4.1,61,"665,309","3,340,895","224,476","415,786","701,621"
"2016,09,27,14,50,00",258,221846,1301,"6,449,817",4.1,76,"791,033","4,025,459","261,983","486,511","884,831"
"2016,07,31,06,40,00",104,124716,2889,"1,879,972",4.0,60,"253,295","1,090,356","96,684","170,175","269,462"
"2016,09,22,18,20,00",258,220512,2485,"6,289,986",4.1,77,"769,711","3,925,525","256,364","475,337","863,049"
"2016,10,13,04,40,00",251,224468,134,"6,675,018",4.0,77,"815,105","4,157,361","271,731","503,623","927,198"
"2016,09,01,02,40,00",211,211800,5085,"5,535,273",4.1,61,"686,690","3,462,313","231,682","429,553","725,035"
"2016,10,28,00,20,00",259,229262,900,"6,923,408",4.0,android_file_size not found,"848,250","4,305,481","281,644","522,719","965,314"
"2016,10,11,22,40,00",258,224252,4191,"6,650,006",4.0,android_file_size not found,"811,849","4,142,612","270,730","501,783","923,032"
"2016,10,11,03,20,00",258,224175,4090,"6,640,527",4.0,android_file_size not found,"810,663","4,136,935","270,284","501,036","921,609"
"2016,09,01,13,00,00",211,211903,5198,"5,547,279",4.1,61,"688,103","3,469,887","232,172","430,510","726,607"
"2016,10,03,13,10,00",258,223015,2667,"6,550,257",4.1,76,"801,414","4,084,492","266,344","493,914","904,093"
"2016,08,14,20,20,00",106,200767,7084,"4,718,500",4.1,61,"588,623","2,940,476","201,843","368,732","618,826"
"2016,09,30,19,40,00",258,222451,2031,"6,502,479",4.1,76,"796,747","4,055,707","264,220","490,518","895,287"
"2016,10,27,11,30,00",259,228864,425,"6,908,175",4.0,android_file_size not found,"846,622","4,296,656","280,965","521,538","962,394"
"2016,09,23,09,40,00",258,220644,2641,"6,302,917",4.1,android_file_size not found,"771,092","3,932,655","257,046","476,320","865,804"
"2016,08,27,15,10,00",211,210097,3028,"5,393,645",4.1,61,"670,437","3,370,816","226,078","419,096","707,218"
"2016,09,03,12,40,00",211,212704,6120,"5,607,362",4.1,61,"695,105","3,509,682","234,237","434,895","733,443"
"2016,08,18,19,20,00",106,204144,10932,"4,956,794",4.1,61,"616,514","3,088,028","211,223","388,096","652,933"
"2016,09,30,22,40,00",258,222451,2031,"6,505,504",4.1,76,"797,019","4,057,639","264,343","490,708","895,795"
"2016,09,12,16,30,00",211,216231,10211,"5,892,279",4.1,android_file_size not found,"728,280","3,702,723","242,345","452,878","766,053"
"2016,07,24,18,00,00",110,114078,12883,"1,553,903",3.9,58,"205,719","889,244","83,244","142,343","233,353"
"2016,08,14,15,30,00",106,200542,6816,"4,689,235",4.1,61,"585,238","2,921,541","200,760","366,494","615,202"
"2016,09,14,19,50,00",260,217644,1247,"6,022,274",4.1,77,"742,056","3,773,266","245,671","458,429","802,852"
"2016,09,25,08,40,00",258,221244,606,"6,362,762",4.1,android_file_size not found,"778,142","3,971,460","259,077","480,265","873,818"
"2016,09,15,20,50,00",260,218080,1784,"6,070,344",4.1,77,"746,717","3,797,856","247,453","461,053","817,265"
"2016,10,26,04,50,00",259,228082,658,"6,861,961",4.0,android_file_size not found,"838,424","4,266,267","279,850","517,946","959,474"
"2016,09,02,15,00,00",211,212351,5714,"5,573,291",4.1,61,"691,088","3,486,774","233,112","432,470","729,847"
"2016,10,17,00,40,00",251,225832,1364,"6,745,595",4.0,77,"823,830","4,198,842","274,441","508,668","939,814"
"2016,09,20,21,50,00",258,220099,2013,"6,257,734",4.1,77,"766,284","3,906,702","255,026","472,950","856,772"
"2016,08,09,21,20,00",106,191453,5195,"3,953,036",4.0,61,"485,565","2,447,552","174,342","306,982","538,595"
"2016,09,20,02,20,00",258,219928,1815,"6,238,442",4.1,77,"764,355","3,895,788","254,100","471,652","852,547"
"2016,10,14,09,50,00",251,224753,529,"6,698,192",4.0,77,"818,217","4,170,369","272,651","505,315","931,640"
"2016,08,31,04,40,00",211,211488,4712,"5,512,504",4.1,61,"684,060","3,447,739","230,791","427,813","722,101"
"2016,10,16,04,10,00",251,225429,783,"6,733,454",4.0,77,"822,648","4,191,742","273,870","507,814","937,380"
"2016,07,29,11,40,00",110,120522,19896,"1,784,487",3.9,58,"238,482","1,028,231","93,573","163,291","260,910"
"2016,08,16,03,10,00",106,201936,8409,"4,802,260",4.1,61,"598,618","2,992,284","205,261","375,680","630,417"
"2016,10,17,23,40,00",251,226257,1939,"6,759,589",4.0,77,"825,686","4,206,436","275,124","509,769","942,574"
"2016,08,11,18,10,00",106,196817,2316,"4,381,157",4.1,61,"548,922","2,725,822","188,441","341,293","576,679"
"2016,07,27,03,00,00",110,117700,16817,"1,682,934",3.9,58,"224,476","967,823","88,626","153,662","248,347"
"2016,08,13,04,30,00",106,198786,4727,"4,549,335",4.1,61,"568,978","2,833,141","195,148","355,036","597,032"
"2016,10,09,16,40,00",258,223940,3810,"6,625,163",4.1,76,"809,075","4,128,346","269,543","499,706","918,493"
"2016,09,13,21,40,00",260,216813,233,"5,953,226",4.1,77,"735,704","3,739,756","243,640","455,807","778,319"
"2016,10,03,19,00,00",258,223050,2710,"6,552,557",4.1,76,"801,624","4,085,830","266,442","494,088","904,573"
"2016,08,11,16,00,00",106,196817,2316,"4,381,157",4.1,61,"548,922","2,725,822","188,441","341,293","576,679"
"2016,10,20,19,00,00",251,226878,2741,"6,792,495",4.0,77,"829,906","4,224,887","276,666","512,529","948,507"
"2016,08,03,20,50,00",104,169862,28168,"2,213,211",3.9,60,"282,244","1,273,142","113,359","188,432","356,034"
"2016,07,23,03,50,00",110,111850,10465,"1,431,662",3.9,58,"187,860","813,198","78,504","132,116","219,984"
"2016,09,30,22,50,00",258,222451,2031,"6,505,504",4.1,76,"797,019","4,057,639","264,343","490,708","895,795"
"2016,10,06,13,50,00",258,223360,3103,"6,581,997",4.1,76,"804,815","4,102,447","267,786","496,474","910,475"
"2016,08,23,09,00,00",106,207105,14328,"5,155,306",4.1,android_file_size not found,"639,889","3,214,830","218,303","402,616","679,668"
"2016,10,14,05,00,00",251,224710,462,"6,696,112",4.0,77,"817,969","4,169,176","272,546","505,150","931,271"
"2016,08,27,12,40,00",211,209959,2875,"5,385,237",4.1,61,"669,519","3,365,247","225,787","418,487","706,197"
"2016,10,26,09,30,00",259,228138,744,"6,864,851",4.0,android_file_size not found,"838,919","4,268,133","279,893","518,228","959,678"
"2016,08,06,00,00,00",104,179054,38285,"3,055,718",4.0,60,"370,276","1,863,347","141,765","240,764","439,566"
"2016,10,23,00,00,00",251,227388,3344,"6,816,139",4.0,77,"832,416","4,239,138","277,695","514,286","952,604"
"2016,08,13,21,10,00",106,199682,5814,"4,623,251",4.1,61,"577,584","2,880,333","198,012","361,072","606,250"
"2016,07,30,14,00,00",110,121549,20998,"1,828,788",3.9,android_file_size not found,"244,454","1,055,840","95,364","167,093","266,037"
"2016,07,29,07,50,00",110,120352,19710,"1,775,920",3.9,58,"237,586","1,022,219","93,281","162,717","260,117"
"2016,10,29,19,30,00",259,229988,1732,"6,968,226",4.0,android_file_size not found,"852,652","4,331,608","283,563","525,908","974,495"
"2016,09,14,13,20,00",260,217310,840,"5,999,901",4.1,77,"740,161","3,762,313","244,952","457,494","794,981"
"2016,08,16,21,40,00",106,202623,9188,"4,855,651",4.1,61,"604,929","3,025,109","207,362","380,062","638,189"
"2016,10,09,20,30,00",258,223940,3810,"6,627,620",4.1,76,"809,294","4,129,808","269,652","499,878","918,988"
"2016,09,11,18,40,00",211,215920,9840,"5,855,822",4.1,android_file_size not found,"723,918","3,677,675","241,533","450,914","761,782"
"2016,08,04,03,50,00",104,171364,29829,"2,411,104",3.9,60,"301,703","1,421,548","118,562","199,336","369,955"
"2016,08,28,06,40,00",211,210334,3303,"5,414,198",4.1,61,"672,604","3,384,410","226,833","420,532","709,819"
"2016,09,10,23,40,00",211,215660,9531,"5,810,861",4.1,android_file_size not found,"718,564","3,647,477","240,758","448,613","755,449"
"2016,07,29,04,50,00",110,120352,19710,"1,769,184",3.9,58,"236,747","1,017,772","93,022","162,255","259,388"
"2016,08,06,23,30,00",104,182699,41526,"3,325,778",4.0,60,"400,823","2,038,657","152,242","259,991","474,065"
"2016,09,10,18,20,00",211,215476,9306,"5,800,952",4.1,android_file_size not found,"717,470","3,640,717","240,590","448,134","754,041"
"2016,08,25,02,10,00",106,208290,843,"5,273,355",4.1,61,"656,214","3,293,096","221,634","410,287","692,124"
"2016,07,23,09,40,00",110,111850,10465,"1,449,823",3.9,58,"190,556","823,480","79,445","133,916","222,426"
"2016,08,27,03,40,00",211,209793,2672,"5,369,537",4.1,61,"667,736","3,355,096","225,235","417,304","704,166"
"2016,08,15,11,00,00",106,201245,7640,"4,752,165",4.1,61,"592,760","2,960,867","203,232","371,738","623,568"
"2016,08,24,23,20,00",106,208290,843,"5,273,355",4.1,61,"656,214","3,293,096","221,634","410,287","692,124"
"2016,07,22,16,00,00",110,110625,9116,"1,402,647",3.9,58,"183,761","796,129","77,211","129,301","216,245"
"2016,07,29,05,30,00",110,120352,19710,"1,775,920",3.9,58,"237,586","1,022,219","93,281","162,717","260,117"
"2016,08,20,19,10,00",106,205366,12514,"5,049,652",4.1,61,"626,981","3,147,390","214,641","394,985","665,655"
"2016,10,12,16,00,00",258,224338,4301,"6,662,903",4.0,77,"813,476","4,150,207","271,336","502,732","925,152"
"2016,07,26,13,10,00",110,116887,15925,"1,662,418",3.9,58,"221,510","954,960","87,858","151,789","246,301"
"2016,08,27,17,00,00",211,210097,3028,"5,393,645",4.1,61,"670,437","3,370,816","226,078","419,096","707,218"
"2016,09,27,20,40,00",258,221955,1424,"6,457,773",4.1,76,"791,973","4,030,054","262,278","487,088","886,380"
"2016,07,27,18,20,00",110,118437,17620,"1,718,214",3.9,58,"229,429","988,057","90,477","157,218","253,033"
"2016,08,30,08,10,00",211,211240,4411,"5,488,339",4.1,61,"681,160","3,432,220","229,763","425,991","719,205"
"2016,08,05,16,10,00",104,177472,36591,"2,944,755",4.0,60,"358,447","1,788,383","137,730","233,426","426,769"
"2016,10,08,23,10,00",258,223780,3625,"6,614,859",4.1,76,"808,039","4,122,180","269,101","498,951","916,588"
"2016,08,13,17,10,00",106,199430,5511,"4,606,819",4.1,61,"575,673","2,869,740","197,401","359,803","604,202"
"2016,07,31,00,50,00",104,123267,1261,"1,852,512",4.0,60,"248,481","1,072,098","95,986","168,615","267,332"
"2016,07,30,13,40,00",110,121549,20998,"1,828,788",3.9,android_file_size not found,"244,454","1,055,840","95,364","167,093","266,037"
"2016,10,19,07,20,00",251,226557,2313,"6,776,874",4.0,77,"828,161","4,216,096","275,923","511,266","945,428"
"2016,09,24,08,20,00",258,220870,144,"6,331,228",4.1,76,"774,514","3,950,835","257,956","478,156","869,767"
"2016,10,31,23,10,00",259,230525,2353,"7,003,505",4.0,android_file_size not found,"856,048","4,351,592","285,049","528,559","982,257"
"2016,08,25,20,50,00",211,208290,843,"5,311,987",4.1,61,"661,115","3,317,612","223,117","413,071","697,072"
"2016,08,24,18,10,00",106,208290,843,"5,252,558",4.1,61,"653,494","3,279,184","220,997","408,939","689,944"
"2016,08,25,03,40,00",106,208290,843,"5,279,586",4.1,61,"657,082","3,296,956","221,870","410,747","692,931"
"2016,09,05,09,40,00",211,213695,7255,"5,662,447",4.1,61,"701,213","3,546,618","236,148","438,877","739,591"
"2016,10,14,03,10,00",251,224710,462,"6,696,135",4.0,77,"817,976","4,169,190","272,545","505,149","931,275"
"2016,07,28,06,20,00",110,119147,18388,"1,734,126",3.9,58,"231,764","997,328","91,307","158,852","254,875"
"2016,07,24,07,00,00",110,113485,12242,"1,499,762",3.9,58,"197,966","854,521","81,382","138,163","227,730"
"2016,09,26,16,30,00",258,221632,1073,"6,425,896",4.1,76,"788,003","4,011,489","260,998","484,849","880,557"
"2016,10,30,16,30,00",259,230174,1937,"6,985,779",4.0,android_file_size not found,"854,297","4,341,751","284,280","527,165","978,286"
"2016,10,11,05,00,00",258,224175,4090,"6,640,526",4.0,android_file_size not found,"810,660","4,136,945","270,284","501,033","921,604"
"2016,10,25,13,50,00",259,227825,306,"6,849,156",4.0,android_file_size not found,"836,533","4,257,978","279,379","517,003","958,263"
"2016,09,19,20,30,00",258,219842,1717,"6,234,250",4.1,77,"763,895","3,893,325","253,921","471,329","851,780"
"2016,10,16,09,10,00",251,225534,940,"6,737,123",4.0,77,"823,063","4,193,895","274,037","508,063","938,065"
"2016,08,08,17,40,00",104,186823,46692,"3,629,620",4.0,61,"437,471","2,227,387","165,418","284,295","515,049"
"2016,09,10,19,50,00",211,215572,9425,"5,800,952",4.1,android_file_size not found,"717,470","3,640,717","240,590","448,134","754,041"
"2016,08,03,13,10,00",104,168277,26408,"2,075,271",3.9,60,"271,723","1,163,411","110,562","182,730","346,845"
"2016,08,03,09,10,00",104,167588,25667,"2,068,940",3.9,60,"271,036","1,160,575","110,043","182,183","345,103"
"2016,09,26,17,40,00",258,221632,1073,"6,425,896",4.1,76,"788,003","4,011,489","260,998","484,849","880,557"
"2016,09,03,12,00,00",211,212704,6120,"5,600,163",4.1,61,"694,278","3,504,845","234,016","434,361","732,663"
"2016,10,05,01,50,00",258,223210,2905,"6,565,464",4.1,76,"803,033","4,092,959","267,063","495,151","907,258"
"2016,10,17,07,50,00",251,225832,1364,"6,747,947",4.0,77,"824,048","4,199,945","274,599","508,819","940,536"
"2016,09,03,23,10,00",211,213008,6459,"5,619,702",4.1,61,"696,447","3,518,156","234,614","435,769","734,716"
"2016,10,06,23,50,00",258,223455,3223,"6,586,212",4.1,76,"805,190","4,105,009","267,950","496,805","911,258"
"2016,08,20,04,40,00",106,204972,11899,"5,016,120",4.1,61,"623,163","3,125,714","213,401","392,595","661,247"
"2016,08,06,11,50,00",104,180503,39846,"3,197,133",4.0,60,"386,403","1,956,815","146,866","250,656","456,393"
"2016,08,29,23,20,00",211,211074,4208,"5,475,269",4.1,61,"679,568","3,423,828","229,253","425,048","717,572"
